userID,productID,rating,label,date,review,sentiment label
125614,1814,3.0,1,2014-11-13,"We were a little disappointed with our experience here. We waited about 2 hours from 2pm (off lunch hour!) for a meal here. We had high hopes.. Hubs ordered the burger and I had the cuban sandwich, while we started with the deviled eggs. Deviled eggs - good, but not amazing Burger & fries - burger was definitely very tender, but nothing to write home about. I liked it more than my husband since I actually like bleu cheese. The fries were nice n crispy but kinda hard to eat. Cuban sandiwch - nicely served hot, but again.. not amazing. Wouldn't come back, especially given the extremely long wait.",0
82475,1814,5.0,1,2012-03-15,"Hype, Crowds, Lines, Pretension - these things are all my enemy.  But the Spotted Pig serves food that is worth all of the crowds, lines and pretension.  When people rave about the gnudi - believe it.  The wine list is lovely.  On top of the food and wine I have to say the the service is really pro.  Gracious, thoughtful and professional all around. It's not like they need another review - but if, like me, you just didn't want to deal with all the hoopla - you might find yourself wishing you hadn't avoided the place for so long.",1
125937,1814,5.0,1,2012-02-26,I will keep this short and sweet.  As good as it gets in New York.  Worth the wait for a table.,1
10275,1814,5.0,1,2014-03-08,I don't care what you eat here but 4 Things you MUST try !!!! 1) Deviled Eggs 2) Chicken liver Toast 3) Burrata with Mushrooms on Toast 4) Shoestring Fries Eat. Enjoy.,1
125481,1814,5.0,-1,2014-11-25,"Without a doubt I am coming back again, They make delicious dishes and they are all worth trying. I really Enjoyed the meals.",1
52242,1814,4.0,1,2010-05-15,"YEs be prepared to wait, but 'your patience will be rewarded' I had the burger when I went - but those deviled eggs and the gnugi in sage butter are SO GOOD. I drool thinking about it",1
11806,1814,3.0,1,2010-09-10,"I've been trying to dine here since 2008 and I finally did it. In my past attempts, the issue was either the wait was ridiculously long or the kitchen had closed. If you can imagine, my expectation had been building up over the years. Last night, in my triumphant state I ordered the burger and was deeply disappointed. The shoestring fries were okay, but the only thing that really separates it from regular fries was the rosemary. Nice touch, but no homerun. The burger... correction: the $17 burger wasn't too special either. It really had me thinking a burger is a burger is a burger (with the exception of Five Napkins and Shake Shack). Sorry, overglorified dining is not for me.",0
33573,1814,4.0,1,2011-01-23,"On a Sunday before a Monday holiday, a friend and I randomly wandered up to NYC from Philadelphia, in part because my friend wanted to check out The Spotted Pig. And really - is there a better reason for a random road trip than good food and drink?! In any case, we arrived at The Spotted Pig a bit on the later side for dinner, I want to say around 10:00pm. But there was no rush as the kitchen doesn't close till 2am. We didn't have a reservation and there was a little bit of a wait - maybe 15 minutes or so - until we were seated. And the place was full - but not overwhelmingly so. The first floor features a compact bar with a small dining room. The second floor offers more tables, another bar and is a bit more spacious - that's where we were seated. The place is warm, cozy and chock full of various pig things - no surprise there. Low lighting and a very relaxed feel - intimate, but with great energy. Groups maneuvered in and out with little difficulty despite the small space. We split the burger and my companion was rather delighted that every available surface of the bun was toasted. The accompanying shoestring fries were addictive. Before that we went a bit devious and ordered the Deviled Eggs AND the Devils on Hoseback (bacon wrapped oysters), which were polished off in very short order. And the gnudi - heavenly little dumplings filled with ricotta - is a must. I'm salivating just thinking about the dish. There are no words to describe the extent of the melt-in-your-mouth deliciousness. As for beverages, he ordered a few beers and I stuck with the Pimm's Cup -  pleasant reminder of my time spent in England. We lingered comfortably over our meal and drinks till about 1:30ish and I'll def make a point to go back next time I'm in NYC. Solid gastropub experience.",1
9606,1814,4.0,1,2010-07-12,"Believe the hype.  The food here is delish, fat laden, and flavorful.  You will indulge and you'll love every minute of it.  We came here for dinner on the 4th of July and learned that we had just missed lunch so we had to wait another hour for dinner.  In the interim we sat at the bar upstairs and ordered shoestring fries and pickled herring which were both great. By the time we were ready to have dinner we were pretty full off of fries and beer so we split a burger and a side of broccoli with bacon. The burger is really rich, in fact we both didn't finish our halves.  It was also a bit too salty and I'm a proponent for high sodium diets!  The broccoli and bacon literally melted in my mouth and had a little kick to it. It was so freakin' good.",1
125470,1814,4.0,-1,2009-02-12,"This is a Fun pub to go to. The food is presented well, tastes great and the staff is well versed in what is on the menu.  it does get crowded fast and the wait could be upwards of 3 hours, but there is a lot in the hood to do while you wait.",1
